query_number,qtid,id,text,retweet_count,reply_count,like_count,quote_count,impression_count,user,reply_to_user_id,referenced_tweets_id
1,1_1667170858589200384,1667170858589200384,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,4043106914,,1657037940659240960
1,1_1667167863046643712,1667167863046643712,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,105366373,,1657037940659240960
1,1_1661704053280104448,1661704053280104448,RT @Royal_College: Why are Complex Adaptive Systems important to physician competency? How can they be better represented within #CanMEDS20…,3,0,0,0,0,1433222964,,1642889723327705088
1,1_1660159778633441280,1660159778633441280,RT @Royal_College: How can we integrate Adaptive Expertise into #CanMEDS2025? Read all about it:  https://t.co/ihfTk8euDI @CmejEditor Autho…,5,0,0,0,0,1275043653711527936,,1639281039519498240
1,1_1659606147010117632,1659606147010117632,RT @Royal_College: How can we integrate Adaptive Expertise into #CanMEDS2025? Read all about it:  https://t.co/ihfTk8f2tg @CmejEditor Autho…,2,0,0,0,0,780153837432795136,,1659197156207792128
1,1_1659207813284102144,1659207813284102144,RT @Royal_College: How can we integrate Adaptive Expertise into #CanMEDS2025? Read all about it:  https://t.co/ihfTk8f2tg @CmejEditor Autho…,2,0,0,0,0,1004927923,,1659197156207792128
1,1_1659197156207792128,1659197156207792128,How can we integrate Adaptive Expertise into #CanMEDS2025? Read all about it:  https://t.co/ihfTk8f2tg @CmejEditor Authors: @cupido_ne Nancy Fowler @lynsonnenberg @AnnaKarwowska7 @DrDenyseR @LindaSMedEd @Brent_Thoma Maria Mylopoulos @UofT #MedEd https://t.co/xRoFi1q8mM,2,0,3,0,1019,279201006,,
1,1_1658545373390987264,1658545373390987264,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,1049760072178561024,,1657037940659240960
1,1_1658519093786599424,1658519093786599424,RT @Royal_College: How can #CanMEDS2025 be updated so today’s physicians can develop the necessary skills to connect virtually with patient…,1,0,0,0,0,1004927923,,1658517706797195264
1,1_1658517706797195264,1658517706797195264,How can #CanMEDS2025 be updated so today’s physicians can develop the necessary skills to connect virtually with patients and peers? Learn more: https://t.co/jHSdrOn6oA @CmejEditor Authors: @beccastovel @danielduboismd @TChanMD @Brent_Thoma @KHo8888 #MedEd https://t.co/1timZvDxWJ,1,0,4,0,1305,279201006,,
1,1_1657707884438749184,1657707884438749184,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,2164779042,,1657037940659240960
1,1_1657242294767210496,1657242294767210496,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,3490157414,,1657037940659240960
1,1_1657136697971204096,1657136697971204096,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,2750435895,,1657037940659240960
1,1_1657038339730538496,1657038339730538496,RT @Royal_College: Why is planetary health important for physician competency? Learn how planetary health be better represented within #Can…,7,0,0,0,0,1004927923,,1657037940659240960
