user_id,username,description,class,Medical_professional,Advocate_Activist,Educator,Researcher,Job_Posting,organizations,Government,Miscellaneous
4043106914,jvipondmd,𝙼𝙳 𝚝𝚛𝚢𝚒𝚗𝚐 𝚍𝚎𝚜𝚙𝚎𝚛𝚊𝚝𝚎𝚕𝚢 𝚝𝚘 𝚜𝚊𝚟𝚎 𝚑𝚒𝚜 𝚌𝚑𝚒𝚕𝚍𝚛𝚎𝚗'𝚜 𝚏𝚞𝚝𝚞𝚛𝚎.  @𝙲𝙰𝙿𝙴_𝙳𝚘𝚌𝚝𝚘𝚛𝚜 @𝙲𝚕𝚒𝚖𝚊𝚝𝚎𝙷𝚞𝚋𝚈YC,Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105366373,uoftcpd,"Continuing Professional Development (CPD, @uoftmedicine) designs, delivers, and accredits #MedEd #CME programs and conferences for health professionals.",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433222964,MKChan_RCPSC,Pediatrician/Educator; she/her; Chinese immigrant; #LeadershipEducation #SocialJustice #CivilitySaves #meded @sanokondu @EqHSLab @pivotmeded Views my own,"Medical professional, Educator, Advocate/Activist",1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1275043653711527936,Abid_Dr93,,,,,,,,,,
780153837432795136,sanokondu,sanokondu=‘Health leadership' in universal language Esperanto: intl CoP for health leadership ed. Open access LEADS & CBME #leadership resources. #TISLEP summit,Researcher,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1004927923,Brent_Thoma,"Professor @USaskEM, Emergency/Trauma physician, tech-enhanced #MedEd researcher","Medical professional, Researcher",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
279201006,Royal_College,Advancing learning for specialist physicians to deliver the best health care for all. Français: @College_royal,Organization,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1049760072178561032,OwenLuo5,Incoming PGY1 @McGill_DOM | MDCM @McGillMed | Co-Founder Project Green Healthcare @CFMS_HEART | Planetary Health Advocate | Views my own.,"Medical professional, Advocate/Activist",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2164779042,SanjSockalingam,"VP Education, Centre for Addiction and Mental Health (CAMH) | Medical Educator | Clinician Scientist | (views are my own)","Medical professional, Researcher",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2750435895,SamanthaGreenTO,Family physician @UnityHealthTO and @ICHA_Toronto. @CAPE_ACME president-elect. mother of 3 kids + 2 cats + 1 dog,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273682356,AeroMD,"Enthusiastic Explorer | Vascular Surgeon and triathlete I dream of possibilities, I create opportunities and I realize my goals through various avenues.",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963234811803398144,DrKathleenRoss1,"President Elect Canadian Medical Association, PastPres Doctors of BC. Mom,Wife,Family Physician, Primary Care OB,Rotarian, Physician Advocate. Cautious Optimist","Medical professional, Advocate/Activist",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1220797023932289027,smoffattbruce1,"President Lahey Hospital and Medical Center, Beth Israel Lahey Health",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700447401,ManiateJ,MD @OttawaHospital @GIMOttawa | Founding Director @EqHSLab | EMBA Candidate @QuanticSchool. Views are my own & reflect my interests in #HPE #EDIA #leadership,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921860721171935232,SaleemRazack,"#PICU md, Father, partner 🏳️‍🌈Passionate about #picu, EDI, & #meded. My views. RT are not endorsements.  @UBCPediatrics @ubcMedCHES",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58727461,ToddKaighin,"60yo, 30 year HIV survivor. Former Gov't Pilot Project Officer-in-Charge and Chief Protocol Officer for Ontario (a sworn Judiciary).",Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1474911270,robwoodsuofs,"Father of 2, husband, dog owner to Gary, mediocre but enthusiastic wannabe athlete, ER & Transport Doc, Residency Director, MedEd Fellowship Director",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125131354700644355,CashinMD,"| Mi’kmaw | MD, FRCPC, LLM, MEd(c) | First Indigenous Radiologist & Nuc Med physician in 🇨🇦 | Director @CMA_Docs @theCMAF | https://t.co/FvEYwsvIbW",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3119304143,meredithyoung1,"Associate Professor & Associate Director:Research at @IHSE_McGill, McGill University (@McGillMed), co-lead of @pursuitvalidity. Terrible at clever bios",Researcher,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
342529914,CathiXredmed,"sometimes too serious.sometimes too silly. sometimes just right. I retweet the funny, interesting, noteworthy, bizarre and just plain cute. RT =/= endorsement",Miscellaneous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1644367146129014787,trashcanorg,"A @uottawamed resident planetary health initiative.
Supporting trainee-led research and QI projects for sustainable healthcare throughout Canada.",Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
595027899,dboyceMD,"MD, Family Medicine

Honoured to be Past President, Council  @CMPAmembers 
#SafeMedicalCare 
My own tweets-not medical advice",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441291113,LeonaAWalsh,Promoting excellence in medical & dental postgraduate training in Wales by supporting needs of individuals. Tweets are my own. Retweets not endorsements.,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962522162,JulieSDixon,"e-learning, computer technology in education, creativity, online learning, adult education, garden goddess  Proudly Canadian🇨🇦",Educator,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1052764052458336256,DrMithuSen,"Professor,WesternUniversity;PulmCritCareSleep;London,CA;ExecutiveLeaderinAcademicMedicine(ELAM2020)&AAMC-CFAS Wellness Leadership & Prog Cmtte;PQ&ICFMemberCoach",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1154422621234237441,UofTMed_OID,"The OID supports @UofTMedicine's broader commitment to lead in the area of equity, inclusion and diversity.",Organization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2994587759,SamirS_H,"militant @CollectifSJS, #pediatric #ERDoc, écrivain #Fighting4aHand2Hold & lovely hockey left winger
*Nobody's free until everybody's free* (FLH)",Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1477026276854611977,CBarber_1,"PhD(c) @MaastrichtU @SHECommunityUM
Doctoral Fellowship @SSHRC_CRSH",Researcher,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1151884987454636032,AnnaKarwowska7,VP Education @AFMC. Pediatrician. Mother to 3 amazing human beings. I believe in kindness. Striving for excellent patient care is my “why”.,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229135436,gboladiMD,Public health and Family Medicine Physician (R1) (UBC 2023) @EndRC2022 @bmsacanada Chair 20/21. Tweets are mine.,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426081006,drDavidKeegan,"settler, anti-fascist, academic family doc, opinions my own,""rough sandpaper,"" ""woke zombie,"" ""snowflake,"" dkcalgary on youtube, https://t.co/n8F7OFdzCO, https://t.co/CPowJTLqfO",Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
481162991,JenaHall1,"(she/her) MD, MEd, CIP, FRCSC (OBGYN), FPMRS Fellow YR2, Research in #surgicaleducation, #videoplayback, #MedEd @ICREConf @SocietyPelvic Tweets = my own","Medical professional, Researcher",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1267000009175621634,blackdocscanada,"Uniting, supporting, amplifying, & empowering Black physicians, physicians in training, patients and the Black community in Canada 🇨🇦 info@blackphysicians.ca",Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1488607922305257478,SocialObGyne,"An obstetrician-gynecologist aiming to address social inequities. MSc Human Factors & Systems Safety, Lund Univ. Currently in the DrPH program, Univ of Toronto","Medical professional, Researcher",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
703017499,DrMWalkerMD,"Mark Walker, MD, Maternal Fetal specialist and Epi Professor and Vice Dean Internationalization and Global Health Fac Med uOttawa Dad of 4 awesome kids.  ❤️ AI.",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811483364,lynsonnenberg,"National Director, Learning with the @Royal_College, Professor @UAlberta, Neurodevelopmental #Pediatrician, Wife & Mother of 3! All things #MedEd",Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20981716,pat_health,Canadian social media health care commentator and observer. Views are my own https://t.co/ZXTke4p2Ub,Advocate/Activist,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2526534478,heatherwatersmd,Family Physician. Assoc Prof @McMasterFamMed. Hamilton Site Director FM. Chair EAB PGME #MedEd. Proud mother of 3 inspiring daughters. She/her. Views my own.,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215788862,fa_rizzuti,Public Health & Preventive Medicine Physician @UCalgaryMed & @ahs_media Calgary Zone; @CAPD_ca President. MedEd & Health System transformer. thoughts my own,Medical professional,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1378113833462456320,JackieSeidel1,Born 322ppm 🌎 ❤️ Poetry. Bees. Bikes. Eco/Climate curriculum. UofC Assoc Prof. PhD. MBSR (mindfulness based stress reduction) instructor. Tweets mine. She/Her,Educator,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
